ID	Gene.symbol	Gene.title	log2(fold change)	-log10(Pvalue)
1552263_at	MAPK1	mitogen-activated protein kinase 1	-0.408	2.672
1552264_a_at	MAPK1	mitogen-activated protein kinase 1	-0.449	3.957
1552280_at	TIMD4	T-cell immunoglobulin and mucin domain containing 4	0.174	2.149
1552287_s_at	AFG3L1P	AFG3 like matrix AAA peptidase subunit 1, pseudogene	0.278	3.261
1552301_a_at	CORO6	coronin 6	0.333	2.757
1552312_a_at	MFAP3	microfibrillar associated protein 3	-1.343	6.784
1552315_at	GIMAP1	GTPase, IMAP family member 1	-0.478	4.663
1552320_a_at	CCDC65	coiled-coil domain containing 65	-0.529	2.864
1552327_at	ARMCX4	armadillo repeat containing, X-linked 4	0.555	3.56
1552335_at	CATSPER1	cation channel sperm associated 1	-0.686	5.172
1552344_s_at	CNOT7	CCR4-NOT transcription complex subunit 7	-0.391	2.895
1552347_at	CRYZL1	crystallin zeta like 1	0.475	5.995
1552360_a_at	TIRAP	TIR domain containing adaptor protein	-0.286	2.652
1552375_at	ZNF333	zinc finger protein 333	-0.663	6.671
1552417_a_at	NEDD1	neural precursor cell expressed, developmentally down-regulated 1	-0.445	2.257
1552423_at	ETV3	ETS variant 3	0.518	3.176
1552472_a_at	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	-0.508	4.447
1552480_s_at	PTPRC	protein tyrosine phosphatase, receptor type C	0.997	3.181
1552485_at	LACTB	lactamase beta	-0.671	3.998
1552486_s_at	LACTB	lactamase beta	-0.657	4.994
1552558_a_at	RAI1	retinoic acid induced 1	0.083	2.105
1552584_at	IL12RB1	interleukin 12 receptor subunit beta 1	-0.51	4.607
1552610_a_at	JAK1	Janus kinase 1	-0.29	2.83
1552612_at	CDC42SE2	CDC42 small effector 2	-0.706	4.531
1552613_s_at	CDC42SE2	CDC42 small effector 2	-0.508	2.791
1552615_at	ACACB	acetyl-CoA carboxylase beta	0.423	3.89
1552617_a_at	RFWD2	ring finger and WD repeat domain 2	-0.487	5.07
1552618_at	STX6	syntaxin 6	-0.575	6.19
1552620_at	SPRR4	small proline rich protein 4	0.205	3.716
1552627_a_at	ARHGAP5	Rho GTPase activating protein 5	-0.314	2.13
1552628_a_at	HERPUD2	HERPUD family member 2	0.719	4.658
1552632_a_at	ARSG	arylsulfatase G	-0.528	4.591
1552633_at	ZNF101	zinc finger protein 101	0.345	2.148
1552634_a_at	ZNF101	zinc finger protein 101	0.593	3.734
1552643_at	ZNF626	zinc finger protein 626	-0.405	4.535
1552644_a_at	PHC3	polyhomeotic homolog 3	0.664	5.444
1552649_a_at	RAD51L3-RFFL///RFFL	RAD51L3-RFFL readthrough///ring finger and FYVE-like domain containing E3 ubiquitin protein ligase	-0.308	2.443
1552651_a_at	RAD51L3-RFFL///RFFL	RAD51L3-RFFL readthrough///ring finger and FYVE-like domain containing E3 ubiquitin protein ligase	-0.491	2.838
1552660_a_at	C5orf22	chromosome 5 open reading frame 22	-1.205	7.627
1552664_at	FLCN	folliculin	-0.282	2.849
1552670_a_at	PPP1R3B	protein phosphatase 1 regulatory subunit 3B	-0.801	4.714
1552675_at	DNAJB7	DnaJ heat shock protein family (Hsp40) member B7	-0.213	2.456
1552717_s_at	CEP170P1///CEP170	centrosomal protein 170 pseudogene 1///centrosomal protein 170	-0.491	4.906
1552719_at	CASC4	cancer susceptibility candidate 4	-0.459	2.669
1552729_at	SNORA17B///SNORA17A///SNHG7	small nucleolar RNA, H/ACA box 17B///small nucleolar RNA, H/ACA box 17A///small nucleolar RNA host gene 7	0.362	3.66
1552742_at	KCNH8	potassium voltage-gated channel subfamily H member 8	0.657	2.41
1552752_a_at	CADM2	cell adhesion molecule 2	0.27	3.359
1552798_a_at	TLR4	toll like receptor 4	-0.741	4.179
1552804_a_at	TIRAP	TIR domain containing adaptor protein	-1.038	5.784
1552806_a_at	SIGLEC10	sialic acid binding Ig like lectin 10	-0.749	3.705
1552812_a_at	SENP1	SUMO1/sentrin specific peptidase 1	-0.865	3.899
1552862_at	RUSC1-AS1	RUSC1 antisense RNA 1	0.617	4.649
1552867_at			-1.323	5.964
1552868_at	CIRBP-AS1	CIRBP antisense RNA 1	0.242	2.402
1552885_a_at	NKX6-3	NK6 homeobox 3	0.3	3.094
1552889_a_at	EXOC3L2	exocyst complex component 3 like 2	0.251	3.16
1552892_at	TNFRSF13C	TNF receptor superfamily member 13C	0.242	2.186
1552908_at	GCSAML	germinal center associated signaling and motility like	0.473	3.62
1552924_a_at	PITPNM2	phosphatidylinositol transfer protein membrane associated 2	0.578	3.902
1552977_a_at	CNPY3	canopy FGF signaling regulator 3	-0.456	3.332
1553021_s_at	BICD2	BICD cargo adaptor 2	-0.276	2.68
1553030_a_at	SUOX	sulfite oxidase	-0.397	3.23
1553067_a_at	GNRHR2	gonadotropin releasing hormone receptor 2 (pseudogene)	0.536	4.327
1553101_a_at	ALKBH5	alkB homolog 5, RNA demethylase	-1.387	7.174
1553112_s_at	CDK8	cyclin dependent kinase 8	-0.422	4.404
1553113_s_at	CDK8	cyclin dependent kinase 8	-0.168	2.328
1553117_a_at	STK38	serine/threonine kinase 38	-0.551	8.213
1553123_at	WDR62	WD repeat domain 62	0.445	3.314
1553125_x_at	WDR62	WD repeat domain 62	0.377	3.58
1553137_s_at	KLF11	Kruppel like factor 11	-0.414	3.078
1553148_a_at	SNX13	sorting nexin 13	-0.409	3.146
1553158_at	CEP19	centrosomal protein 19	-0.43	2.863
1553169_at	LRRN4	leucine rich repeat neuronal 4	0.269	2.149
1553176_at	SH2D1B	SH2 domain containing 1B	-0.902	2.394
1553185_at	RASEF	RAS and EF-hand domain containing	1.297	4.298
1553186_x_at	RASEF	RAS and EF-hand domain containing	1.251	4.124
1553193_at	ZNF441	zinc finger protein 441	0.308	2.659
1553215_s_at	CCDC7	coiled-coil domain containing 7	0.279	3.141
1553216_at	ZNF41	zinc finger protein 41	-0.445	4.894
1553217_s_at	ZNF41	zinc finger protein 41	-0.432	5.615
1553219_a_at	AMMECR1	Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1	-0.799	3.797
1553225_s_at	ZNF75D	zinc finger protein 75D	-0.584	5.242
1553227_s_at	BRWD1	bromodomain and WD repeat domain containing 1	-0.504	4.542
1553264_a_at	SYN1	synapsin I	0.166	2.432
1553286_at	ZNF555	zinc finger protein 555	-0.625	5.389
1553292_s_at	SGK494	uncharacterized serine/threonine-protein kinase SgK494	0.571	5.785
1553313_s_at	SLC5A3	solute carrier family 5 member 3	-0.33	2.232
1553329_at	SSMEM1	serine rich single-pass membrane protein 1	0.093	2.37
1553338_at	SDE2	SDE2 telomere maintenance homolog	-0.532	3.998
1553348_a_at	NFX1	nuclear transcription factor, X-box binding 1	0.241	2.616
1553349_at	ARID2	AT-rich interaction domain 2	-0.441	2.69
1553369_at	FAM129C	family with sequence similarity 129 member C	0.73	2.437
1553396_a_at	CCDC13	coiled-coil domain containing 13	0.623	3.279
1553402_a_at	HFE	hemochromatosis	-0.526	3.718
1553510_s_at	CNOT9	CCR4-NOT transcription complex subunit 9	-0.304	2.412
1553528_a_at	TAF5	TATA-box binding protein associated factor 5	-0.252	3.213
1553530_a_at	ITGB1	integrin subunit beta 1	-0.86	4.458
1553535_a_at	RANGAP1	Ran GTPase activating protein 1	-0.376	2.7
1553542_at	CCDC125	coiled-coil domain containing 125	0.426	2.126
1553567_s_at	ATP6	ATP synthase F0 subunit 6	0.151	2.473
1553569_at	COX2	cytochrome c oxidase subunit II	-0.279	4.602
1553570_x_at	COX2	cytochrome c oxidase subunit II	-0.285	5.378
1553581_s_at	SREK1IP1	SREK1 interacting protein 1	-0.337	4.493
1553587_a_at	POLE4	DNA polymerase epsilon 4, accessory subunit	-0.592	5.873
1553603_s_at	ATL2	atlastin GTPase 2	-0.485	3.254
1553625_at	FAM98B	family with sequence similarity 98 member B	-0.294	2.148
1553627_s_at	EFCAB13	EF-hand calcium binding domain 13	0.673	2.67
1553645_at	CCDC141	coiled-coil domain containing 141	0.347	2.362
1553661_a_at	HUS1B	HUS1 checkpoint clamp component B	0.207	2.297
1553678_a_at	ITGB1	integrin subunit beta 1	-0.642	2.976
1553679_s_at	VKORC1L1	vitamin K epoxide reductase complex subunit 1 like 1	-0.201	2.415
1553681_a_at	PRF1	perforin 1	-1.667	4.775
1553685_s_at	SP1	Sp1 transcription factor	-0.43	3.335
1553688_at	METTL6	methyltransferase like 6	-0.301	2.229
1553691_at	B3GALNT2	beta-1,3-N-acetylgalactosaminyltransferase 2	-0.736	4.905
1553694_a_at	PIK3C2A	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha	-0.236	2.226
