Entity,Day,Cumulative excess deaths (central estimate),"Cumulative excess deaths (95% CI, lower bound)","Cumulative excess deaths (95% CI, upper bound)",Total confirmed deaths due to COVID-19
Bangladesh,2020-01-01,639.8185,-310.64316,1004.26245,
Bangladesh,2020-01-04,,,,0
Bangladesh,2020-01-05,,,,0
Bangladesh,2020-01-06,1279.6714,-622.84094,2008.648,0
Bangladesh,2020-01-07,,,,0
Bangladesh,2020-01-08,,,,0
Bangladesh,2020-01-09,,,,0
Bangladesh,2020-01-10,,,,0
Bangladesh,2020-01-11,,,,0
Bangladesh,2020-01-12,,,,0
Bangladesh,2020-01-13,1919.4294,-918.8724,2984.8184,0
Bangladesh,2020-01-14,,,,0
Bangladesh,2020-01-15,,,,0
Bangladesh,2020-01-16,,,,0
Bangladesh,2020-01-17,,,,0
Bangladesh,2020-01-18,,,,0
Bangladesh,2020-01-19,,,,0
Bangladesh,2020-01-20,2498.577,-1222.3093,4042.634,0
Bangladesh,2020-01-21,,,,0
Bangladesh,2020-01-22,,,,0
Bangladesh,2020-01-23,,,,0
Bangladesh,2020-01-24,,,,0
Bangladesh,2020-01-25,,,,0
Bangladesh,2020-01-26,,,,0
Bangladesh,2020-01-27,3072.275,-1440.7372,5138.5312,0
Bangladesh,2020-01-28,,,,0
Bangladesh,2020-01-29,,,,0
Bangladesh,2020-01-30,,,,0
Bangladesh,2020-01-31,,,,0
Bangladesh,2020-02-01,,,,0
Bangladesh,2020-02-02,,,,0
Bangladesh,2020-02-03,3795.4292,-2008.3262,6585.9395,0
Bangladesh,2020-02-04,,,,0
Bangladesh,2020-02-05,,,,0
Bangladesh,2020-02-06,,,,0
Bangladesh,2020-02-07,,,,0
Bangladesh,2020-02-08,,,,0
Bangladesh,2020-02-09,,,,0
Bangladesh,2020-02-10,4572.874,-2268.0476,7819.7695,0
Bangladesh,2020-02-11,,,,0
Bangladesh,2020-02-12,,,,0
Bangladesh,2020-02-13,,,,0
Bangladesh,2020-02-14,,,,0
Bangladesh,2020-02-15,,,,0
Bangladesh,2020-02-16,,,,0
Bangladesh,2020-02-17,5222.79,-2850.4426,9075.782,0
Bangladesh,2020-02-18,,,,0
Bangladesh,2020-02-19,,,,0
Bangladesh,2020-02-20,,,,0
Bangladesh,2020-02-21,,,,0
Bangladesh,2020-02-22,,,,0
Bangladesh,2020-02-23,,,,0
Bangladesh,2020-02-24,5723.0454,-4018.1846,10630.956,0
Bangladesh,2020-02-25,,,,0
Bangladesh,2020-02-26,,,,0
Bangladesh,2020-02-27,,,,0
Bangladesh,2020-02-28,,,,0
Bangladesh,2020-02-29,,,,0
Bangladesh,2020-03-01,,,,0
Bangladesh,2020-03-02,5674.8174,-5136.05,10393.555,0
Bangladesh,2020-03-03,,,,0
Bangladesh,2020-03-04,,,,0
Bangladesh,2020-03-05,,,,0
Bangladesh,2020-03-06,,,,0
Bangladesh,2020-03-07,,,,0
Bangladesh,2020-03-08,,,,0
Bangladesh,2020-03-09,6891.43,-5791.0786,11462.835,0
Bangladesh,2020-03-10,,,,0
Bangladesh,2020-03-11,,,,0
Bangladesh,2020-03-12,,,,0
Bangladesh,2020-03-13,,,,0
Bangladesh,2020-03-14,,,,0
Bangladesh,2020-03-15,,,,0
Bangladesh,2020-03-16,8166.2295,-6837.4893,14806.744,0
Bangladesh,2020-03-17,,,,0
Bangladesh,2020-03-18,,,,0
Bangladesh,2020-03-19,,,,1
Bangladesh,2020-03-20,,,,1
Bangladesh,2020-03-21,,,,1
Bangladesh,2020-03-22,,,,2
Bangladesh,2020-03-23,8815.525,-8355.762,15526.679,3
Bangladesh,2020-03-24,,,,4
Bangladesh,2020-03-25,,,,5
Bangladesh,2020-03-26,,,,5
Bangladesh,2020-03-27,,,,5
Bangladesh,2020-03-28,,,,5
Bangladesh,2020-03-29,,,,5
Bangladesh,2020-03-30,9126.983,-10251.08,14397.51,5
Bangladesh,2020-03-31,,,,5
Bangladesh,2020-04-01,,,,6
Bangladesh,2020-04-02,,,,6
Bangladesh,2020-04-03,,,,6
Bangladesh,2020-04-04,,,,8
Bangladesh,2020-04-05,,,,8
Bangladesh,2020-04-06,9797.012,-11558.021,15480.896,12
Bangladesh,2020-04-07,,,,17
Bangladesh,2020-04-08,,,,20
Bangladesh,2020-04-09,,,,21
Bangladesh,2020-04-10,,,,27
Bangladesh,2020-04-11,,,,30
Bangladesh,2020-04-12,,,,34
Bangladesh,2020-04-13,10809.301,-13685.051,17606.861,39
Bangladesh,2020-04-14,,,,46
Bangladesh,2020-04-15,,,,50
Bangladesh,2020-04-16,,,,60
Bangladesh,2020-04-17,,,,75
Bangladesh,2020-04-18,,,,84
Bangladesh,2020-04-19,,,,91
Bangladesh,2020-04-20,10801.321,-15667.578,17901.826,101
Bangladesh,2020-04-21,,,,110
Bangladesh,2020-04-22,,,,120
Bangladesh,2020-04-23,,,,127
Bangladesh,2020-04-24,,,,131
Bangladesh,2020-04-25,,,,140
Bangladesh,2020-04-26,,,,145
Bangladesh,2020-04-27,10346.014,-17560.908,19687.383,152
Bangladesh,2020-04-28,,,,155
Bangladesh,2020-04-29,,,,163
Bangladesh,2020-04-30,,,,168
Bangladesh,2020-05-01,,,,170
Bangladesh,2020-05-02,,,,175
Bangladesh,2020-05-03,,,,177
Bangladesh,2020-05-04,10442.599,-16818.713,21252.281,182
Bangladesh,2020-05-05,,,,183
Bangladesh,2020-05-06,,,,186
Bangladesh,2020-05-07,,,,199
Bangladesh,2020-05-08,,,,206
Bangladesh,2020-05-09,,,,214
Bangladesh,2020-05-10,,,,228
Bangladesh,2020-05-11,11492.104,-16078.696,22699.469,239
Bangladesh,2020-05-12,,,,250
Bangladesh,2020-05-13,,,,269
Bangladesh,2020-05-14,,,,283
Bangladesh,2020-05-15,,,,298
Bangladesh,2020-05-16,,,,314
Bangladesh,2020-05-17,,,,328
Bangladesh,2020-05-18,14326.674,-15705.393,25606.691,349
Bangladesh,2020-05-19,,,,370
Bangladesh,2020-05-20,,,,386
Bangladesh,2020-05-21,,,,408
Bangladesh,2020-05-22,,,,432
Bangladesh,2020-05-23,,,,452
Bangladesh,2020-05-24,,,,480
Bangladesh,2020-05-25,16708.227,-15587.714,27832.09,501
Bangladesh,2020-05-26,,,,522
Bangladesh,2020-05-27,,,,544
Bangladesh,2020-05-28,,,,559
Bangladesh,2020-05-29,,,,582
Bangladesh,2020-05-30,,,,610
Bangladesh,2020-05-31,,,,650
Bangladesh,2020-06-01,19996.377,-14895.667,32034.156,672
Bangladesh,2020-06-02,,,,709
Bangladesh,2020-06-03,,,,746
Bangladesh,2020-06-04,,,,781
Bangladesh,2020-06-05,,,,811
Bangladesh,2020-06-06,,,,846
Bangladesh,2020-06-07,,,,888
Bangladesh,2020-06-08,24554.115,-14187.7705,38646.707,930
Bangladesh,2020-06-09,,,,975
Bangladesh,2020-06-10,,,,1012
Bangladesh,2020-06-11,,,,1049
Bangladesh,2020-06-12,,,,1095
Bangladesh,2020-06-13,,,,1139
Bangladesh,2020-06-14,,,,1171
Bangladesh,2020-06-15,29947.678,-13112.613,44257.934,1209
Bangladesh,2020-06-16,,,,1262
Bangladesh,2020-06-17,,,,1305
Bangladesh,2020-06-18,,,,1343
Bangladesh,2020-06-19,,,,1388
Bangladesh,2020-06-20,,,,1425
Bangladesh,2020-06-21,,,,1464
Bangladesh,2020-06-22,35487.832,-12145.89,54326.84,1502
Bangladesh,2020-06-23,,,,1545
Bangladesh,2020-06-24,,,,1582
Bangladesh,2020-06-25,,,,1621
Bangladesh,2020-06-26,,,,1661
Bangladesh,2020-06-27,,,,1695
Bangladesh,2020-06-28,,,,1738
Bangladesh,2020-06-29,41000.25,-10605.899,62675.65,1783
Bangladesh,2020-06-30,,,,1847
Bangladesh,2020-07-01,,,,1888
Bangladesh,2020-07-02,,,,1926
Bangladesh,2020-07-03,,,,1968
Bangladesh,2020-07-04,,,,1997
Bangladesh,2020-07-05,,,,2052
Bangladesh,2020-07-06,46477.715,-6796.772,74684.93,2096
Bangladesh,2020-07-07,,,,2151
Bangladesh,2020-07-08,,,,2197
Bangladesh,2020-07-09,,,,2238
Bangladesh,2020-07-10,,,,2275
Bangladesh,2020-07-11,,,,2305
Bangladesh,2020-07-12,,,,2352
Bangladesh,2020-07-13,52011.613,-3039.4578,81536.7,2391
Bangladesh,2020-07-14,,,,2424
Bangladesh,2020-07-15,,,,2457
Bangladesh,2020-07-16,,,,2496
Bangladesh,2020-07-17,,,,2547
Bangladesh,2020-07-18,,,,2581
Bangladesh,2020-07-19,,,,2618
Bangladesh,2020-07-20,57337.434,700.41705,88191.5,2668
Bangladesh,2020-07-21,,,,2709
Bangladesh,2020-07-22,,,,2751
Bangladesh,2020-07-23,,,,2801
Bangladesh,2020-07-24,,,,2836
Bangladesh,2020-07-25,,,,2874
Bangladesh,2020-07-26,,,,2928
Bangladesh,2020-07-27,63086.17,2038.7352,94904.72,2965
Bangladesh,2020-07-28,,,,3000
Bangladesh,2020-07-29,,,,3035
Bangladesh,2020-07-30,,,,3083
Bangladesh,2020-07-31,,,,3111
Bangladesh,2020-08-01,,,,3132
Bangladesh,2020-08-02,,,,3154
Bangladesh,2020-08-03,69067.9,4538.3027,102712.09,3184
Bangladesh,2020-08-04,,,,3234
Bangladesh,2020-08-05,,,,3267
Bangladesh,2020-08-06,,,,3306
Bangladesh,2020-08-07,,,,3333
Bangladesh,2020-08-08,,,,3365
Bangladesh,2020-08-09,,,,3399
Bangladesh,2020-08-10,74666.38,6328.911,110697.77,3438
Bangladesh,2020-08-11,,,,3471
Bangladesh,2020-08-12,,,,3513
Bangladesh,2020-08-13,,,,3557
Bangladesh,2020-08-14,,,,3591
Bangladesh,2020-08-15,,,,3625
Bangladesh,2020-08-16,,,,3657
Bangladesh,2020-08-17,79892.12,8840.301,122336.83,3694
Bangladesh,2020-08-18,,,,3740
Bangladesh,2020-08-19,,,,3781
Bangladesh,2020-08-20,,,,3822
Bangladesh,2020-08-21,,,,3861
Bangladesh,2020-08-22,,,,3907
Bangladesh,2020-08-23,,,,3941
Bangladesh,2020-08-24,83920.65,10867.179,126040.89,3983
Bangladesh,2020-08-25,,,,4028
Bangladesh,2020-08-26,,,,4082
Bangladesh,2020-08-27,,,,4127
Bangladesh,2020-08-28,,,,4174
Bangladesh,2020-08-29,,,,4206
Bangladesh,2020-08-30,,,,4248
Bangladesh,2020-08-31,88106.9,12702.37,130646.31,4281
Bangladesh,2020-09-01,,,,4316
Bangladesh,2020-09-02,,,,4351
Bangladesh,2020-09-03,,,,4383
Bangladesh,2020-09-04,,,,4412
Bangladesh,2020-09-05,,,,4447
Bangladesh,2020-09-06,,,,4479
Bangladesh,2020-09-07,92524.586,14368.528,137210.55,4516
Bangladesh,2020-09-08,,,,4552
Bangladesh,2020-09-09,,,,4593
Bangladesh,2020-09-10,,,,4634
Bangladesh,2020-09-11,,,,4668
Bangladesh,2020-09-12,,,,4702
Bangladesh,2020-09-13,,,,4733
Bangladesh,2020-09-14,96407.586,16335.957,143421.14,4759
Bangladesh,2020-09-15,,,,4802
Bangladesh,2020-09-16,,,,4823
Bangladesh,2020-09-17,,,,4859
Bangladesh,2020-09-18,,,,4881
Bangladesh,2020-09-19,,,,4913
Bangladesh,2020-09-20,,,,4939
Bangladesh,2020-09-21,100724.49,18511.719,150004.56,4979
Bangladesh,2020-09-22,,,,5007
Bangladesh,2020-09-23,,,,5044
Bangladesh,2020-09-24,,,,5072
Bangladesh,2020-09-25,,,,5093
Bangladesh,2020-09-26,,,,5129
Bangladesh,2020-09-27,,,,5161
Bangladesh,2020-09-28,104589.62,19098.498,154243.31,5193
Bangladesh,2020-09-29,,,,5219
Bangladesh,2020-09-30,,,,5251
Bangladesh,2020-10-01,,,,5272
Bangladesh,2020-10-02,,,,5305
Bangladesh,2020-10-03,,,,5325
Bangladesh,2020-10-04,,,,5348
